show,title,href,id,show_abbrev,show_c
The Lead with Jake Tapper,Finding Migrant Parents; Joe Biden Lays Out COVID-19 Response Plan; Candidates Hit Campaign Trail Following Final Debate. Aired 4- 4:30p ET,/TRANSCRIPTS/2010/23/cg.03.html,19187,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Trump Holding Rally at Florida Retirement Community; GOP Adviser Says Trump Debate Performance Could Be Too Late; Trump Campaign Raised Biggest Online Funding on Debate Night; Trump Claims to Be Least Racist Person in the Room; Biden Falsely Claims He Never Opposed Fracking; Universal Mask Usage Could Save 100,000+ Lives in U.S. Aired 3:30-4p ET",/TRANSCRIPTS/2010/23/cg.02.html,19188,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"The Keys to Victory for the GOP, Dems in Tight Senate Races; Trump Announces Israel & Sudan Agree to Normalize Relations; COVID-19 Infections Hit New Peaks Across Europe. Aired 4:30-5p ET",/TRANSCRIPTS/2010/23/cg.04.html,19189,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"U.S. Tops 1,000 Daily COVID-19 Deaths; Biden, Trump Set For Final Debate. Aired 3-3:30p ET",/TRANSCRIPTS/2010/22/cg.01.html,19190,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Trump, Biden Set For Final Debate; U.S. Tops 1,000 Daily COVID- 19 Deaths. Aired 4-4:30p ET",/TRANSCRIPTS/2010/22/cg.03.html,19191,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Trump Tests Negative for COVID Ahead of Final Debate; Trump Says He May Change Strategy from Last Debate; Republicans Advance Supreme Court Nominee Despite Boycott by Democrats; Potential Paths to Victory for Trump and Biden. Aired 3:30-4p ET,/TRANSCRIPTS/2010/22/cg.02.html,19192,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Republicans Advance Supreme Court Nominee Amy Coney Barrett Despite Boycott From Democrats; Sen. Kirsten Gillibrand (D-NY) is Interviewed About Supreme Court Nomination and Stimulus Deal; Feds: Iran & Russia Interfered in 2020 Election; New Debate Details: Candidates Will Be 12+ Feet Apart, Trump Will Get First Question. Aired 4:30-5p ET",/TRANSCRIPTS/2010/22/cg.04.html,19193,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Campaign Strategies?; Voter Intimidation Concerns Growing; President Trump Expresses No Regrets Over Pandemic Response. Aired 3- 3:30p ET,/TRANSCRIPTS/2010/21/cg.01.html,19194,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Obama Hits Trail For Biden; New Presidential Polls; President Trump Expresses No Regrets Over Pandemic Response. Aired 4-4:30p ET,/TRANSCRIPTS/2010/21/cg.03.html,19195,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Campaign Ad Blitz; Pandemic Escalating. Aired 4:30-5p ET,/TRANSCRIPTS/2010/21/cg.04.html,19196,cg,the_lead_with_jake_tapper
