network,week,n,t,pct,rm,date
Fox News,2017.327,9,21,0.42857142857142855,0.45159987071751784,2017-04-23
CNN,2017.346,128,368,0.34782608695652173,0.36256898837176604,2017-04-30
Fox News,2017.346,9,26,0.34615384615384615,0.3731684981684982,2017-04-30
CNN,2017.365,98,290,0.33793103448275863,0.3481362232718259,2017-05-07
Fox News,2017.365,10,26,0.38461538461538464,0.3860256410256411,2017-05-07
CNN,2017.385,129,327,0.3944954128440367,0.34000853036152434,2017-05-14
Fox News,2017.385,8,24,0.3333333333333333,0.37641025641025644,2017-05-14
CNN,2017.404,94,301,0.3122923588039867,0.338859105074168,2017-05-21
Fox News,2017.404,12,25,0.48,0.3913675213675214,2017-05-21
CNN,2017.423,105,333,0.3153153153153153,0.3112878834421062,2017-05-28
Fox News,2017.423,8,26,0.3076923076923077,0.3265527065527066,2017-05-28
CNN,2017.442,94,282,0.3333333333333333,0.28353428255900087,2017-06-04
Fox News,2017.442,12,27,0.4444444444444444,0.27386039886039887,2017-06-04
CNN,2017.462,81,285,0.28421052631578947,0.277839782088381,2017-06-11
Fox News,2017.462,2,27,0.07407407407407407,0.3011039886039886,2017-06-11
CNN,2017.481,63,313,0.2012779552715655,0.30359735784595676,2017-06-18
Fox News,2017.481,7,26,0.2692307692307692,0.3347297195981407,2017-06-18
CNN,2017.5,98,335,0.29253731343283584,0.36034741684996907,2017-06-25
Fox News,2017.5,10,24,0.4166666666666667,0.45510008996851103,2017-06-25
CNN,2017.519,120,275,0.43636363636363634,0.4061817741859238,2017-07-02
Fox News,2017.519,11,19,0.5789473684210527,0.431270658530384,2017-07-02
CNN,2017.538,114,223,0.5112107623318386,0.40880502158529064,2017-07-09
Fox News,2017.538,15,27,0.5555555555555556,0.42493007882023903,2017-07-09
CNN,2017.558,110,286,0.38461538461538464,0.3987400865203556,2017-07-16
Fox News,2017.558,4,23,0.17391304347826086,0.3754313319530711,2017-07-16
CNN,2017.577,90,297,0.30303030303030304,0.3761562511562512,2017-07-23
Fox News,2017.577,9,23,0.391304347826087,0.31608789760963674,2017-07-23
CNN,2017.596,122,308,0.3961038961038961,0.3849294123016751,2017-07-30
Fox News,2017.596,8,21,0.38095238095238093,0.40260963674007155,2017-07-30
CNN,2017.615,125,297,0.4208754208754209,0.4085409217176009,2017-08-06
Fox News,2017.615,7,22,0.3181818181818182,0.42383116883116884,2017-08-06
CNN,2017.635,115,274,0.4197080291970803,0.35412774230442146,2017-08-13
Fox News,2017.635,13,25,0.52,0.4211856661856662,2017-08-13
CNN,2017.654,126,317,0.39747634069400634,0.2886615372622447,2017-08-20
Fox News,2017.654,10,21,0.47619047619047616,0.43687830687830687,2017-08-20
CNN,2017.673,53,297,0.17845117845117844,0.22926433128747792,2017-08-27
Fox News,2017.673,10,27,0.37037037037037035,0.382965263400046,2017-08-27
CNN,2017.692,45,283,0.15901060070671377,0.1904488793319694,2017-09-03
Fox News,2017.692,8,21,0.38095238095238093,0.40677478720956983,2017-09-03
CNN,2017.712,55,302,0.18211920529801323,0.21298818827904537,2017-09-10
Fox News,2017.712,7,23,0.30434782608695654,0.38918219461697723,2017-09-10
CNN,2017.731,70,289,0.2422145328719723,0.22545072797578464,2017-09-17
Fox News,2017.731,12,21,0.5714285714285714,0.32655279503105594,2017-09-17
CNN,2017.75,83,309,0.2686084142394822,0.26745090267046595,2017-09-24
Fox News,2017.75,6,20,0.3,0.3527385657820441,2017-09-24
CNN,2017.769,66,316,0.2088607594936709,0.27560587872399606,2017-10-01
Fox News,2017.769,3,23,0.13043478260869565,0.32446475625823457,2017-10-01
CNN,2017.788,146,417,0.3501199040767386,0.291229694896567,2017-10-08
Fox News,2017.788,9,22,0.4090909090909091,0.3655361848296631,2017-10-08
CNN,2017.808,83,302,0.27483443708609273,0.30938487539351966,2017-10-15
Fox News,2017.808,11,24,0.4583333333333333,0.37640575004705445,2017-10-15
CNN,2017.827,99,299,0.3311036789297659,0.297775144773108,2017-10-22
Fox News,2017.827,13,28,0.4642857142857143,0.34704968944099385,2017-10-22
CNN,2017.846,76,270,0.2814814814814815,0.2884190534871964,2017-10-29
Fox News,2017.846,4,23,0.17391304347826086,0.2637163561076605,2017-10-29
CNN,2017.865,99,326,0.30368098159509205,0.2783704064820276,2017-11-05
Fox News,2017.865,7,24,0.2916666666666667,0.1861064659977704,2017-11-05
CNN,2017.885,66,278,0.23741007194244604,0.26990479801641915,2017-11-12
Fox News,2017.885,4,32,0.125,0.18429487179487183,2017-11-12
CNN,2017.904,96,330,0.2909090909090909,0.2743767094803912,2017-11-19
Fox News,2017.904,4,26,0.15384615384615385,0.21482648099027413,2017-11-19
CNN,2017.923,78,315,0.24761904761904763,0.27390100308898263,2017-11-26
Fox News,2017.923,5,30,0.16666666666666666,0.2353006189213086,2017-11-26
CNN,2017.942,82,255,0.3215686274509804,0.28763206369504324,2017-12-03
Fox News,2017.942,12,29,0.41379310344827586,0.29505336617405586,2017-12-03
CNN,2017.962,65,276,0.23550724637681159,0.3201150568923221,2017-12-10
Fox News,2017.962,6,29,0.20689655172413793,0.42005336617405586,2017-12-10
CNN,2017.981,83,240,0.3458333333333333,0.3259570772447669,2017-12-17
Fox News,2017.981,11,28,0.39285714285714285,0.39352816723506384,2017-12-17
CNN,2018,74,196,0.37755102040816324,0.39502639359669195,2017-12-24
